carat,depth,table,x,y,z,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_E,color_F,color_G,color_H,color_I,color_J,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2,price,volume,median_carat_by_color
-1.1981678055010725,-0.1740915083097858,-1.0996719906799668,-1.5878374489219242,-1.5361955629431636,-1.5711291873012518,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,326,-3.832343630858061,0.53
-1.240361288524541,-1.3607384862097478,1.5855287069457735,-1.6413252861036247,-1.6587741878007844,-1.7411749694095262,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,326,-4.7405021096061,0.53
-1.1981678055010725,-3.385018624980267,3.3756625053629343,-1.4986910536190907,-1.4573950183918358,-1.7411749694095262,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,327,-3.803048034049643,0.53
-1.0715873564306673,0.4541333623431333,0.2429283581329035,-1.364971460664839,-1.3173051614116975,-1.2877195504541288,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,334,-2.315427856176428,1.0
-1.0293938734071988,1.0823582329960524,0.2429283581329035,-1.240166507240872,-1.212237768676595,-1.1176737683458546,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,335,-1.6802846786481203,1.11
-1.1770710639893385,0.7333444159666523,-0.2046050914713865,-1.596752088452208,-1.5537067950656809,-1.5002767780894712,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,336,-3.722013509286714,1.11
-1.1770710639893385,0.3843305989372522,-0.2046050914713865,-1.5878374489219242,-1.5361955629431636,-1.5144472599318273,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,336,-3.69408343870155,1.0
-1.1348775809658698,0.1051195453137332,-1.0996719906799668,-1.4808617745585235,-1.4223725541468013,-1.4294243688776906,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,337,-3.010849643588038,0.9
-1.2192645470128067,2.3388079743018904,1.5855287069457735,-1.6591545651641917,-1.7113078841683362,-1.4861062962471148,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,337,-4.219537702107383,0.53
-1.1981678055010725,-1.6399495398332669,1.5855287069457735,-1.5432642512705077,-1.4749062505143535,-1.6278111146706766,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,338,-3.705174972024679,0.9
